net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,seam,26,15.259,0.037951,-151.931,65.252
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,seam,17,52.23,0.1299,-84.291,92.811
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,seam,8,30.141,0.074963,-0.001,91.326
VBUS,1,159.348,95,27 17 27 17 7 17 7 0 7 0 2,S26 S17 S8 C0,crease,0,21.094,0.052462,-3.477,1.638
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,9,57.507,0.143024,-10.542,-16.642
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,20,22.8,0.056705,-10.509,-37.056
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,31,57.507,0.143024,-23.521,-51.325
V5,1,159.247,85,2 12 22 32 41,C9 C20 C31 C37,crease,37,21.094,0.052462,-38.641,-65.812
USB_DM,1,71.709,40,27 37 41,S37 C38,seam,37,52.23,0.1299,-170.341,-13.091
USB_DM,1,71.709,40,27 37 41,S37 C38,crease,38,30.141,0.074963,-102.563,-145.925
USB_DP,1,71.79,38,27 37 38 41,S37 S39 C39,seam,37,52.23,0.1299,-179.54,-11.656
USB_DP,1,71.79,38,27 37 38 41,S37 S39 C39,seam,39,20.407,0.050755,-109.478,-153.655
USB_DP,1,71.79,38,27 37 38 41,S37 S39 C39,crease,39,21.094,0.052462,-95.55,-153.845
DRV1,1,132.491,74,41 38 41 38 28 38 28 18 28 18,C39 C36 S27,crease,39,21.094,0.052462,-94.473,-154.942
DRV1,1,132.491,74,41 38 41 38 28 38 28 18 28 18,C39 C36 S27,crease,36,57.507,0.143024,-106.403,-170.691
DRV1,1,132.491,74,41 38 41 38 28 38 28 18 28 18,C39 C36 S27,seam,27,22.8,0.056705,-163.927,77.73
LEDA1,1,197.621,121,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,seam,18,57.507,0.143024,19.337,123.031
LEDA1,1,197.621,121,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,crease,6,21.094,0.052462,19.231,103.42
LEDA1,1,197.621,121,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,crease,0,21.094,0.052462,-0.695,0.328
LEDA1,1,197.621,121,18 8 18 8 0 8 0 2 12,S18 C6 C0 C9,crease,9,57.507,0.143024,-14.661,-14.702
DRV2,1,138.93,80,41 37 41 37 36 37 36 35 36 35 34 35 34 33 34 33 32 33 22 32 22,C38 S38 C35 C34 C33 S33 C31,crease,38,30.141,0.074963,-102.73,-131.678
DRV2,1,138.93,80,41 37 41 37 36 37 36 35 36 35 34 35 34 33 34 33 32 33 22 32 22,C38 S38 C35 C34 C33 S33 C31,seam,38,5.282,0.013138,-142.988,-63.576
DRV2,1,138.93,80,41 37 41 37 36 37 36 35 36 35 34 35 34 33 34 33 32 33 22 32 22,C38 S38 C35 C34 C33 S33 C31,crease,35,14.886,0.037024,-118.209,-48.881
DRV2,1,138.93,80,41 37 41 37 36 37 36 35 36 35 34 35 34 33 34 33 32 33 22 32 22,C38 S38 C35 C34 C33 S33 C31,crease,34,14.886,0.037024,-96.862,-44.038
DRV2,1,138.93,80,41 37 41 37 36 37 36 35 36 35 34 35 34 33 34 33 32 33 22 32 22,C38 S38 C35 C34 C33 S33 C31,crease,33,5.282,0.013138,-66.107,-44.314
DRV2,1,138.93,80,41 37 41 37 36 37 36 35 36 35 34 35 34 33 34 33 32 33 22 32 22,C38 S38 C35 C34 C33 S33 C31,seam,33,20.407,0.050755,-34.19,-47.132
DRV2,1,138.93,80,41 37 41 37 36 37 36 35 36 35 34 35 34 33 34 33 32 33 22 32 22,C38 S38 C35 C34 C33 S33 C31,crease,31,57.507,0.143024,-33.131,-46.8
LEDA2,1,196.631,115,22 23 24 25 26 27 28,C23 C24 C25 C26 C27 S28,crease,23,43.341,0.107793,-31.445,-41.644
LEDA2,1,196.631,115,22 23 24 25 26 27 28,C23 C24 C25 C26 C27 S28,crease,24,8.895,0.022122,-60.159,-37.319
LEDA2,1,196.631,115,22 23 24 25 26 27 28,C23 C24 C25 C26 C27 S28,crease,25,26.91,0.066927,-94.418,-25.606
LEDA2,1,196.631,115,22 23 24 25 26 27 28,C23 C24 C25 C26 C27 S28,crease,26,26.91,0.066927,-123.175,-20.401
LEDA2,1,196.631,115,22 23 24 25 26 27 28,C23 C24 C25 C26 C27 S28,crease,27,8.895,0.022122,-158.389,-9.567
LEDA2,1,196.631,115,22 23 24 25 26 27 28,C23 C24 C25 C26 C27 S28,seam,28,43.341,0.107793,-186.35,5.569
IO1,1,19.576,7,41 37 41 37,C38,crease,38,30.141,0.074963,-102.656,-138.01
DRV3,1,62.03,30,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,crease,38,30.141,0.074963,-102.619,-141.176
DRV3,1,62.03,30,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,seam,38,5.282,0.013138,-145.833,-62.404
DRV3,1,62.03,30,41 37 41 37 36 37 36 35 36 35,C38 S38 C35,crease,35,14.886,0.037024,-119.834,-46.036
LEDA3,1,52.516,26,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,35,49.322,0.122668,-115.13,-23.073
LEDA3,1,52.516,26,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,24,13.09,0.032557,-91.017,14.177
LEDA3,1,52.516,26,35 25 35 25 15 25 15 5 15 5,S35 S24 S15,seam,15,49.322,0.122668,-72.797,32.976
IO2,1,22.434,8,41 38 41 38,C39,crease,39,21.094,0.052462,-97.705,-151.652
IO3,1,30.674,13,41 38 41 38,C39,crease,39,21.094,0.052462,-99.86,-149.458
IO4,1,23.358,10,41 38 41 38,C39,crease,39,21.094,0.052462,-96.628,-152.748
SWSIG,1,192.276,110,41 33 41 33 32 33 32 22 32 22 23 13 23 13 3 13 3,S45 S33 C31 C23 S22 C11,seam,45,30.141,0.074963,-53.391,-54.964
SWSIG,1,192.276,110,41 33 41 33 32 33 32 22 32 22 23 13 23 13 3 13 3,S45 S33 C31 C23 S22 C11,seam,33,20.407,0.050755,-40.154,-57.62
