net,connected,length_mm,segment_count,panel_sequence,fold_sequence,crossing_kind,crossing_fold_id,crossing_theta_deg,crossing_predicted_strain,crossing_x_mm,crossing_y_mm
VBUS,1,35.14,18,0,,,,,,,
V5,1,131.787,76,0,,,,,,,
USB_DM,1,59.848,28,0,,,,,,,
USB_DP,1,22.07,4,0,,,,,,,
DRV1,1,157.291,81,0 3 5,C0 C3,crease,0,90.0,0.184569,0.0,49.524
DRV1,1,157.291,81,0 3 5,C0 C3,crease,3,90.0,0.184569,-54.71,4.566
LEDA1,1,26.641,13,5,,,,,,,
DRV2,1,117.437,71,0 2 6,S1 S7,seam,1,90.0,0.184569,35.81,88.381
DRV2,1,117.437,71,0 2 6,S1 S7,seam,7,32.501,0.066652,-47.543,124.191
LEDA2,1,24.316,12,6,,,,,,,
IO1,1,162.319,104,0 3 7,C0 C5,crease,0,90.0,0.184569,0.0,43.429
IO1,1,162.319,104,0 3 7,C0 C5,crease,5,90.0,0.184569,-85.333,46.511
GND,1,282.533,165,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,1,90.0,0.184569,49.524,88.381
GND,1,282.533,165,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,7,32.501,0.066652,-47.543,136.381
GND,1,282.533,165,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,9,57.499,0.117917,-111.125,104.787
GND,1,282.533,165,0 2 6 7 5 7 5,S1 S7 S9 S10,seam,10,57.499,0.117917,-111.125,-16.406
